Spot,Time,Growth_normalized
PRB16_15,2026,0
PRB16_15,2072,0
PRB16_15,2118,1
PRB16_15,2164,0
PRB16_15,2210,0
PRB16_15,2256,2
PRB16_15,2302,2
PRB16_15,2348,0
PRB16_15,2394,3
PRB16_15,2440,0
PRB16_15,2486,0
PRB16_15,2532,0
PRB16_15,2578,0
PRB16_15,2624,0
PRB16_15,2670,0
PRB16_15,2716,0
PRB16_15,2762,33
PRB16_16,0,0
PRB16_16,46,0
PRB16_16,92,0
PRB16_16,138,0
PRB16_16,184,0
PRB16_16,230,45
PRB16_16,276,69
PRB16_16,322,33
PRB16_16,368,0
PRB16_16,414,16
PRB16_16,460,0
PRB16_16,506,0
PRB16_16,552,0
PRB16_16,598,29
PRB16_16,644,0
PRB16_16,690,0
PRB16_16,736,73
PRB16_16,782,0
PRB16_16,828,77
PRB16_16,874,0
PRB16_16,920,0
PRB16_16,967,0
PRB16_16,1013,0
PRB16_16,1059,0
PRB16_16,1105,0
PRB16_16,1151,0
PRB16_16,1197,92
PRB16_16,1243,0
PRB16_16,1289,15
PRB16_16,1335,0
PRB16_16,1381,0
PRB16_16,1427,0
PRB16_16,1473,0
PRB16_16,1519,0
PRB16_16,1565,0
PRB16_16,1611,0
PRB16_16,1657,0
PRB16_16,1703,0
PRB16_16,1749,0
PRB16_16,1795,0
PRB16_16,1841,0
PRB16_16,1888,0
PRB16_16,1934,0
PRB16_16,1980,0
PRB16_16,2026,0
PRB16_16,2072,0
PRB16_16,2118,0
PRB16_16,2164,0
PRB16_16,2210,0
PRB16_16,2256,0
PRB16_16,2302,0
PRB16_16,2348,0
PRB16_16,2394,0
PRB16_16,2440,0
PRB16_16,2486,0
PRB16_16,2532,0
PRB16_16,2578,0
PRB16_16,2624,0
PRB16_16,2670,0
PRB16_16,2716,0
PRB16_16,2762,0
PRB16_17,0,0
PRB16_17,46,17
PRB16_17,92,4
PRB16_17,138,8
PRB16_17,184,0
PRB16_17,230,0
PRB16_17,276,0
PRB16_17,322,117
PRB16_17,368,126
PRB16_17,414,0
PRB16_17,460,10
PRB16_17,506,0
PRB16_17,552,0
PRB16_17,598,0
PRB16_17,644,0
PRB16_17,690,107
PRB16_17,736,0
PRB16_17,782,0
PRB16_17,828,0
PRB16_17,874,55
PRB16_17,920,29
PRB16_17,967,92
PRB16_17,1013,107
PRB16_17,1059,48
PRB16_17,1105,127
PRB16_17,1151,77
PRB16_17,1197,0
PRB16_17,1243,22
PRB16_17,1289,0
PRB16_17,1335,10
PRB16_17,1381,0
PRB16_17,1427,29
PRB16_17,1473,0
PRB16_17,1519,7
PRB16_17,1565,100
PRB16_17,1611,29
PRB16_17,1657,0
PRB16_17,1703,14
PRB16_17,1749,16
PRB16_17,1795,0
PRB16_17,1841,30
PRB16_17,1888,0
PRB16_17,1934,0
PRB16_17,1980,0
PRB16_17,2026,0
PRB16_17,2072,0
PRB16_17,2118,13
PRB16_17,2164,2
PRB16_17,2210,0
PRB16_17,2256,10
PRB16_17,2302,26
PRB16_17,2348,0
PRB16_17,2394,3
PRB16_17,2440,1
PRB16_17,2486,3
PRB16_17,2532,3
PRB16_17,2578,0
PRB16_17,2624,0
PRB16_17,2670,0
PRB16_17,2716,13
PRB16_17,2762,13
PRB16_18,0,0
PRB16_18,46,0
PRB16_18,92,0
PRB16_18,138,0
PRB16_18,184,0
PRB16_18,230,0
PRB16_18,276,0
PRB16_18,322,0
PRB16_18,368,0
PRB16_18,414,0
PRB16_18,460,0
PRB16_18,506,0
PRB16_18,552,0
PRB16_18,598,80
PRB16_18,644,115
PRB16_18,690,204
PRB16_18,736,277
PRB16_18,782,382
PRB16_18,828,421
PRB16_18,874,551
PRB16_18,920,666
PRB16_18,967,820
PRB16_18,1013,1001
PRB16_18,1059,1191
PRB16_18,1105,1293
PRB16_18,1151,1440
PRB16_18,1197,1597
PRB16_18,1243,1778
PRB16_18,1289,2021
PRB16_18,1335,2230
PRB16_18,1381,2450
PRB16_18,1427,2722
PRB16_18,1473,2879
PRB16_18,1519,3217
PRB16_18,1565,3407
PRB16_18,1611,3758
PRB16_18,1657,4037
PRB16_18,1703,4374
PRB16_18,1749,4667
PRB16_18,1795,4991
PRB16_18,1841,5327
PRB16_18,1888,5645
PRB16_18,1934,5936
PRB16_18,1980,6214
PRB16_18,2026,6620
PRB16_18,2072,6976
PRB16_18,2118,7398
PRB16_18,2164,7609
PRB16_18,2210,7974
PRB16_18,2256,8243
PRB16_18,2302,8596
PRB16_18,2348,8801
PRB16_18,2394,9169
PRB16_18,2440,9451
PRB16_18,2486,9801
PRB16_18,2532,10090
PRB16_18,2578,10351
PRB16_18,2624,10603
PRB16_18,2670,10890
PRB16_18,2716,11173
PRB16_18,2762,11636
PRB16_19,0,0
PRB16_19,46,6
PRB16_19,92,0
PRB16_19,138,0
PRB16_19,184,0
PRB16_19,230,29
PRB16_19,276,30
PRB16_19,322,0
PRB16_19,368,74
PRB16_19,414,0
PRB16_19,460,0
PRB16_19,506,0
PRB16_19,552,0
PRB16_19,598,0
PRB16_19,644,16
PRB16_19,690,0
PRB16_19,736,0
PRB16_19,782,85
PRB16_19,828,0
PRB16_19,874,0
PRB16_19,920,71
PRB16_19,967,62
PRB16_19,1013,0
PRB16_19,1059,0
PRB16_19,1105,96
PRB16_19,1151,0
PRB16_19,1197,0
PRB16_19,1243,0
PRB16_19,1289,0
PRB16_19,1335,0
PRB16_19,1381,0
PRB16_19,1427,0
PRB16_19,1473,23
PRB16_19,1519,0
PRB16_19,1565,8
PRB16_19,1611,0
PRB16_19,1657,29
PRB16_19,1703,0
PRB16_19,1749,0
PRB16_19,1795,0
PRB16_19,1841,0
PRB16_19,1888,0
PRB16_19,1934,0
PRB16_19,1980,0
PRB16_19,2026,0
PRB16_19,2072,0
PRB16_19,2118,0
PRB16_19,2164,0
PRB16_19,2210,0
PRB16_19,2256,0
PRB16_19,2302,0
PRB16_19,2348,0
PRB16_19,2394,0
PRB16_19,2440,0
PRB16_19,2486,0
PRB16_19,2532,0
PRB16_19,2578,0
PRB16_19,2624,0
PRB16_19,2670,0
PRB16_19,2716,0
PRB16_19,2762,0
PRB16_2,0,0
PRB16_2,46,0
PRB16_2,92,0
PRB16_2,138,0
PRB16_2,184,0
PRB16_2,230,0
PRB16_2,276,0
PRB16_2,322,0
PRB16_2,368,20
PRB16_2,414,8
PRB16_2,460,13
PRB16_2,506,0
PRB16_2,552,13
PRB16_2,598,45
PRB16_2,644,100
PRB16_2,690,175
PRB16_2,736,206
PRB16_2,782,313
PRB16_2,828,326
PRB16_2,874,464
PRB16_2,920,477
PRB16_2,967,699
PRB16_2,1013,794
PRB16_2,1059,940
PRB16_2,1105,1117
PRB16_2,1151,1231
PRB16_2,1197,1475
PRB16_2,1243,1590
PRB16_2,1289,1839
PRB16_2,1335,2016
PRB16_2,1381,2141
PRB16_2,1427,2224
PRB16_2,1473,2409
PRB16_2,1519,2614
PRB16_2,1565,2775
PRB16_2,1611,3009
PRB16_2,1657,3243
PRB16_2,1703,3506
PRB16_2,1749,3753
PRB16_2,1795,3949
PRB16_2,1841,4162
PRB16_2,1888,4465
PRB16_2,1934,4638
PRB16_2,1980,5009
PRB16_2,2026,5291
PRB16_2,2072,5626
PRB16_2,2118,5953
PRB16_2,2164,6316
PRB16_2,2210,6625
PRB16_2,2256,6939
PRB16_2,2302,7211
PRB16_2,2348,7492
PRB16_2,2394,7783
PRB16_2,2440,8045
PRB16_2,2486,8342
PRB16_2,2532,8685
PRB16_2,2578,8976
PRB16_2,2624,9371
PRB16_2,2670,9689
PRB16_2,2716,9904
PRB16_2,2762,10282
PRB16_20,0,0
PRB16_20,46,0
PRB16_20,92,0
PRB16_20,138,0
PRB16_20,184,0
PRB16_20,230,0
PRB16_20,276,0
PRB16_20,322,51
PRB16_20,368,0
PRB16_20,414,0
PRB16_20,460,10
PRB16_20,506,34
PRB16_20,552,61
PRB16_20,598,132
PRB16_20,644,211
PRB16_20,690,237
PRB16_20,736,332
PRB16_20,782,453
PRB16_20,828,519
PRB16_20,874,723
PRB16_20,920,733
PRB16_20,967,963
PRB16_20,1013,1084
PRB16_20,1059,1223
PRB16_20,1105,1426
PRB16_20,1151,1607
PRB16_20,1197,1780
PRB16_20,1243,1882
PRB16_20,1289,2179
PRB16_20,1335,2353
PRB16_20,1381,2580
PRB16_20,1427,2860
PRB16_20,1473,3142
PRB16_20,1519,3479
PRB16_20,1565,3737
PRB16_20,1611,4051
PRB16_20,1657,4393
PRB16_20,1703,4740
PRB16_20,1749,5074
PRB16_20,1795,5407
PRB16_20,1841,5772
PRB16_20,1888,6125
PRB16_20,1934,6336
PRB16_20,1980,6734
PRB16_20,2026,7085
PRB16_20,2072,7458
PRB16_20,2118,7754
PRB16_20,2164,8114
PRB16_20,2210,8327
PRB16_20,2256,8608
PRB16_20,2302,9028
PRB16_20,2348,9368
PRB16_20,2394,9726
