,Cell_type,Time,Spot,Spot_loc,Growth,Growth_normalized
TETRArcAKO16_27_2118,TETRArcAKO16,2118.0,TETRArcAKO16_27,534_683_8,12613.0,1304.0
TETRArcAKO16_28_2118,TETRArcAKO16,2118.0,TETRArcAKO16_28,582_417_7,6963.0,1165.0
TETRArcAKO16_29_2118,TETRArcAKO16,2118.0,TETRArcAKO16_29,671_659_7,8486.0,1433.0
TETRArcAKO16_30_2118,TETRArcAKO16,2118.0,TETRArcAKO16_30,747_418_7,6868.0,1131.0
TETRArcAKO16_31_2118,TETRArcAKO16,2118.0,TETRArcAKO16_31,801_159_5,4712.0,562.0
TETRArcAKO16_32_2118,TETRArcAKO16,2118.0,TETRArcAKO16_32,880_863_8,11430.0,1731.0
TETRArcAKO16_33_2118,TETRArcAKO16,2118.0,TETRArcAKO16_33,884_259_6,6444.0,949.0
TETRArcAKO16_34_2118,TETRArcAKO16,2118.0,TETRArcAKO16_34,972_570_6,6480.0,1053.0
TETRArcAKO16_35_2118,TETRArcAKO16,2118.0,TETRArcAKO16_35,1036_861_6,6982.0,1056.0
TETRArcAKO16_0_2440,TETRArcAKO16,2440.0,TETRArcAKO16_0,37_462_6,6046.0,1203.0
TETRArcAKO16_1_2440,TETRArcAKO16,2440.0,TETRArcAKO16_1,69_1089_14,27312.0,506.0
TETRArcAKO16_2_2440,TETRArcAKO16,2440.0,TETRArcAKO16_2,114_680_8,9319.0,1442.0
TETRArcAKO16_3_2440,TETRArcAKO16,2440.0,TETRArcAKO16_3,117_371_6,6726.0,1342.0
TETRArcAKO16_4_2440,TETRArcAKO16,2440.0,TETRArcAKO16_4,153_682_7,9593.0,1255.0
TETRArcAKO16_5_2440,TETRArcAKO16,2440.0,TETRArcAKO16_5,175_742_8,11902.0,1763.0
TETRArcAKO16_6_2440,TETRArcAKO16,2440.0,TETRArcAKO16_6,178_982_6,7365.0,1421.0
TETRArcAKO16_7_2440,TETRArcAKO16,2440.0,TETRArcAKO16_7,185_704_8,13000.0,1283.0
TETRArcAKO16_8_2440,TETRArcAKO16,2440.0,TETRArcAKO16_8,184_467_7,8000.0,1202.0
TETRArcAKO16_9_2440,TETRArcAKO16,2440.0,TETRArcAKO16_9,205_1037_5,5013.0,1073.0
TETRArcAKO16_10_2440,TETRArcAKO16,2440.0,TETRArcAKO16_10,212_309_7,9295.0,1711.0
TETRArcAKO16_11_2440,TETRArcAKO16,2440.0,TETRArcAKO16_11,225_699_7,9430.0,1732.0
TETRArcAKO16_12_2440,TETRArcAKO16,2440.0,TETRArcAKO16_12,260_622_7,9586.0,1631.0
TETRArcAKO16_13_2440,TETRArcAKO16,2440.0,TETRArcAKO16_13,288_627_7,9581.0,1748.0
TETRArcAKO16_14_2440,TETRArcAKO16,2440.0,TETRArcAKO16_14,288_317_5,4940.0,1011.0
TETRArcAKO16_15_2440,TETRArcAKO16,2440.0,TETRArcAKO16_15,295_365_6,6710.0,1467.0
TETRArcAKO16_16_2440,TETRArcAKO16,2440.0,TETRArcAKO16_16,343_961_5,4963.0,1012.0
TETRArcAKO16_17_2440,TETRArcAKO16,2440.0,TETRArcAKO16_17,349_248_6,7360.0,173.0
TETRArcAKO16_18_2440,TETRArcAKO16,2440.0,TETRArcAKO16_18,358_514_6,6747.0,1463.0
TETRArcAKO16_19_2440,TETRArcAKO16,2440.0,TETRArcAKO16_19,375_968_6,6681.0,1208.0
TETRArcAKO16_20_2440,TETRArcAKO16,2440.0,TETRArcAKO16_20,376_151_7,8023.0,1329.0
TETRArcAKO16_21_2440,TETRArcAKO16,2440.0,TETRArcAKO16_21,447_540_6,6688.0,1262.0
TETRArcAKO16_22_2440,TETRArcAKO16,2440.0,TETRArcAKO16_22,448_500_5,4897.0,968.0
TETRArcAKO16_23_2440,TETRArcAKO16,2440.0,TETRArcAKO16_23,495_916_7,8114.0,1541.0
TETRArcAKO16_24_2440,TETRArcAKO16,2440.0,TETRArcAKO16_24,497_256_6,6104.0,1245.0
TETRArcAKO16_25_2440,TETRArcAKO16,2440.0,TETRArcAKO16_25,511_557_7,9523.0,1594.0
TETRArcAKO16_26_2440,TETRArcAKO16,2440.0,TETRArcAKO16_26,516_994_7,9537.0,1606.0
TETRArcAKO16_27_2440,TETRArcAKO16,2440.0,TETRArcAKO16_27,534_683_8,12945.0,1636.0
TETRArcAKO16_28_2440,TETRArcAKO16,2440.0,TETRArcAKO16_28,582_417_7,7282.0,1484.0
TETRArcAKO16_29_2440,TETRArcAKO16,2440.0,TETRArcAKO16_29,671_659_7,8828.0,1775.0
TETRArcAKO16_30_2440,TETRArcAKO16,2440.0,TETRArcAKO16_30,747_418_7,7233.0,1496.0
TETRArcAKO16_31_2440,TETRArcAKO16,2440.0,TETRArcAKO16_31,801_159_5,4926.0,776.0
TETRArcAKO16_32_2440,TETRArcAKO16,2440.0,TETRArcAKO16_32,880_863_8,11879.0,2180.0
TETRArcAKO16_33_2440,TETRArcAKO16,2440.0,TETRArcAKO16_33,884_259_6,6746.0,1251.0
TETRArcAKO16_34_2440,TETRArcAKO16,2440.0,TETRArcAKO16_34,972_570_6,6726.0,1299.0
TETRArcAKO16_35_2440,TETRArcAKO16,2440.0,TETRArcAKO16_35,1036_861_6,7315.0,1389.0
TETRArcAKO16_0_1151,TETRArcAKO16,1151.0,TETRArcAKO16_0,37_462_6,5138.0,295.0
TETRArcAKO16_1_1151,TETRArcAKO16,1151.0,TETRArcAKO16_1,69_1089_14,27041.0,235.0
TETRArcAKO16_2_1151,TETRArcAKO16,1151.0,TETRArcAKO16_2,114_680_8,8184.0,307.0
TETRArcAKO16_3_1151,TETRArcAKO16,1151.0,TETRArcAKO16_3,117_371_6,5675.0,291.0
TETRArcAKO16_4_1151,TETRArcAKO16,1151.0,TETRArcAKO16_4,153_682_7,8597.0,259.0
TETRArcAKO16_5_1151,TETRArcAKO16,1151.0,TETRArcAKO16_5,175_742_8,10549.0,410.0
TETRArcAKO16_6_1151,TETRArcAKO16,1151.0,TETRArcAKO16_6,178_982_6,6320.0,376.0
TETRArcAKO16_7_1151,TETRArcAKO16,1151.0,TETRArcAKO16_7,185_704_8,12005.0,288.0
TETRArcAKO16_8_1151,TETRArcAKO16,1151.0,TETRArcAKO16_8,184_467_7,7017.0,219.0
TETRArcAKO16_9_1151,TETRArcAKO16,1151.0,TETRArcAKO16_9,205_1037_5,4215.0,275.0
TETRArcAKO16_10_1151,TETRArcAKO16,1151.0,TETRArcAKO16_10,212_309_7,7871.0,287.0
TETRArcAKO16_11_1151,TETRArcAKO16,1151.0,TETRArcAKO16_11,225_699_7,8101.0,403.0
TETRArcAKO16_12_1151,TETRArcAKO16,1151.0,TETRArcAKO16_12,260_622_7,8242.0,287.0
TETRArcAKO16_13_1151,TETRArcAKO16,1151.0,TETRArcAKO16_13,288_627_7,8229.0,396.0
TETRArcAKO16_14_1151,TETRArcAKO16,1151.0,TETRArcAKO16_14,288_317_5,4134.0,205.0
TETRArcAKO16_15_1151,TETRArcAKO16,1151.0,TETRArcAKO16_15,295_365_6,5573.0,330.0
TETRArcAKO16_16_1151,TETRArcAKO16,1151.0,TETRArcAKO16_16,343_961_5,4210.0,259.0
TETRArcAKO16_17_1151,TETRArcAKO16,1151.0,TETRArcAKO16_17,349_248_6,7226.0,39.0
TETRArcAKO16_18_1151,TETRArcAKO16,1151.0,TETRArcAKO16_18,358_514_6,5673.0,389.0
TETRArcAKO16_19_1151,TETRArcAKO16,1151.0,TETRArcAKO16_19,375_968_6,5790.0,317.0
TETRArcAKO16_20_1151,TETRArcAKO16,1151.0,TETRArcAKO16_20,376_151_7,7020.0,326.0
TETRArcAKO16_21_1151,TETRArcAKO16,1151.0,TETRArcAKO16_21,447_540_6,5711.0,285.0
TETRArcAKO16_22_1151,TETRArcAKO16,1151.0,TETRArcAKO16_22,448_500_5,4123.0,194.0
TETRArcAKO16_23_1151,TETRArcAKO16,1151.0,TETRArcAKO16_23,495_916_7,6934.0,361.0
TETRArcAKO16_24_1151,TETRArcAKO16,1151.0,TETRArcAKO16_24,497_256_6,5146.0,287.0
TETRArcAKO16_25_1151,TETRArcAKO16,1151.0,TETRArcAKO16_25,511_557_7,8257.0,328.0
TETRArcAKO16_26_1151,TETRArcAKO16,1151.0,TETRArcAKO16_26,516_994_7,8319.0,388.0
TETRArcAKO16_27_1151,TETRArcAKO16,1151.0,TETRArcAKO16_27,534_683_8,11697.0,388.0
TETRArcAKO16_28_1151,TETRArcAKO16,1151.0,TETRArcAKO16_28,582_417_7,6154.0,356.0
TETRArcAKO16_29_1151,TETRArcAKO16,1151.0,TETRArcAKO16_29,671_659_7,7442.0,389.0
TETRArcAKO16_30_1151,TETRArcAKO16,1151.0,TETRArcAKO16_30,747_418_7,6089.0,352.0
TETRArcAKO16_31_1151,TETRArcAKO16,1151.0,TETRArcAKO16_31,801_159_5,4340.0,190.0
TETRArcAKO16_32_1151,TETRArcAKO16,1151.0,TETRArcAKO16_32,880_863_8,10233.0,534.0
TETRArcAKO16_33_1151,TETRArcAKO16,1151.0,TETRArcAKO16_33,884_259_6,5803.0,308.0
TETRArcAKO16_34_1151,TETRArcAKO16,1151.0,TETRArcAKO16_34,972_570_6,5709.0,282.0
TETRArcAKO16_35_1151,TETRArcAKO16,1151.0,TETRArcAKO16_35,1036_861_6,6222.0,296.0
TETRArcAKO16_0_2302,TETRArcAKO16,2302.0,TETRArcAKO16_0,37_462_6,5952.0,1109.0
TETRArcAKO16_1_2302,TETRArcAKO16,2302.0,TETRArcAKO16_1,69_1089_14,27263.0,457.0
TETRArcAKO16_2_2302,TETRArcAKO16,2302.0,TETRArcAKO16_2,114_680_8,9157.0,1280.0
TETRArcAKO16_3_2302,TETRArcAKO16,2302.0,TETRArcAKO16_3,117_371_6,6601.0,1217.0
TETRArcAKO16_4_2302,TETRArcAKO16,2302.0,TETRArcAKO16_4,153_682_7,9476.0,1138.0
TETRArcAKO16_5_2302,TETRArcAKO16,2302.0,TETRArcAKO16_5,175_742_8,11766.0,1627.0
TETRArcAKO16_6_2302,TETRArcAKO16,2302.0,TETRArcAKO16_6,178_982_6,7256.0,1312.0
TETRArcAKO16_7_2302,TETRArcAKO16,2302.0,TETRArcAKO16_7,185_704_8,12857.0,1140.0
TETRArcAKO16_8_2302,TETRArcAKO16,2302.0,TETRArcAKO16_8,184_467_7,7888.0,1090.0
TETRArcAKO16_9_2302,TETRArcAKO16,2302.0,TETRArcAKO16_9,205_1037_5,4926.0,986.0
TETRArcAKO16_10_2302,TETRArcAKO16,2302.0,TETRArcAKO16_10,212_309_7,9044.0,1460.0
TETRArcAKO16_11_2302,TETRArcAKO16,2302.0,TETRArcAKO16_11,225_699_7,9299.0,1601.0
TETRArcAKO16_12_2302,TETRArcAKO16,2302.0,TETRArcAKO16_12,260_622_7,9416.0,1461.0
TETRArcAKO16_13_2302,TETRArcAKO16,2302.0,TETRArcAKO16_13,288_627_7,9462.0,1629.0
TETRArcAKO16_14_2302,TETRArcAKO16,2302.0,TETRArcAKO16_14,288_317_5,4822.0,893.0
TETRArcAKO16_15_2302,TETRArcAKO16,2302.0,TETRArcAKO16_15,295_365_6,6552.0,1309.0
TETRArcAKO16_16_2302,TETRArcAKO16,2302.0,TETRArcAKO16_16,343_961_5,4844.0,893.0
TETRArcAKO16_17_2302,TETRArcAKO16,2302.0,TETRArcAKO16_17,349_248_6,7343.0,156.0
TETRArcAKO16_18_2302,TETRArcAKO16,2302.0,TETRArcAKO16_18,358_514_6,6633.0,1349.0
TETRArcAKO16_19_2302,TETRArcAKO16,2302.0,TETRArcAKO16_19,375_968_6,6549.0,1076.0
TETRArcAKO16_20_2302,TETRArcAKO16,2302.0,TETRArcAKO16_20,376_151_7,7882.0,1188.0
TETRArcAKO16_21_2302,TETRArcAKO16,2302.0,TETRArcAKO16_21,447_540_6,6587.0,1161.0
TETRArcAKO16_22_2302,TETRArcAKO16,2302.0,TETRArcAKO16_22,448_500_5,4810.0,881.0
TETRArcAKO16_23_2302,TETRArcAKO16,2302.0,TETRArcAKO16_23,495_916_7,7957.0,1384.0
TETRArcAKO16_24_2302,TETRArcAKO16,2302.0,TETRArcAKO16_24,497_256_6,5970.0,1111.0
TETRArcAKO16_25_2302,TETRArcAKO16,2302.0,TETRArcAKO16_25,511_557_7,9386.0,1457.0
TETRArcAKO16_26_2302,TETRArcAKO16,2302.0,TETRArcAKO16_26,516_994_7,9355.0,1424.0
TETRArcAKO16_27_2302,TETRArcAKO16,2302.0,TETRArcAKO16_27,534_683_8,12785.0,1476.0
TETRArcAKO16_28_2302,TETRArcAKO16,2302.0,TETRArcAKO16_28,582_417_7,7129.0,1331.0
TETRArcAKO16_29_2302,TETRArcAKO16,2302.0,TETRArcAKO16_29,671_659_7,8664.0,1611.0
TETRArcAKO16_30_2302,TETRArcAKO16,2302.0,TETRArcAKO16_30,747_418_7,7022.0,1285.0
TETRArcAKO16_31_2302,TETRArcAKO16,2302.0,TETRArcAKO16_31,801_159_5,4823.0,673.0
TETRArcAKO16_32_2302,TETRArcAKO16,2302.0,TETRArcAKO16_32,880_863_8,11670.0,1971.0
TETRArcAKO16_33_2302,TETRArcAKO16,2302.0,TETRArcAKO16_33,884_259_6,6603.0,1108.0
TETRArcAKO16_34_2302,TETRArcAKO16,2302.0,TETRArcAKO16_34,972_570_6,6638.0,1211.0
TETRArcAKO16_35_2302,TETRArcAKO16,2302.0,TETRArcAKO16_35,1036_861_6,7165.0,1239.0
TETRArcAKO16_0_414,TETRArcAKO16,414.0,TETRArcAKO16_0,37_462_6,4900.0,57.0
TETRArcAKO16_1_414,TETRArcAKO16,414.0,TETRArcAKO16_1,69_1089_14,26922.0,116.0
TETRArcAKO16_2_414,TETRArcAKO16,414.0,TETRArcAKO16_2,114_680_8,7934.0,57.0
TETRArcAKO16_3_414,TETRArcAKO16,414.0,TETRArcAKO16_3,117_371_6,5434.0,50.0
TETRArcAKO16_4_414,TETRArcAKO16,414.0,TETRArcAKO16_4,153_682_7,8398.0,60.0
TETRArcAKO16_5_414,TETRArcAKO16,414.0,TETRArcAKO16_5,175_742_8,10225.0,86.0
TETRArcAKO16_6_414,TETRArcAKO16,414.0,TETRArcAKO16_6,178_982_6,6002.0,58.0
TETRArcAKO16_7_414,TETRArcAKO16,414.0,TETRArcAKO16_7,185_704_8,11818.0,101.0
TETRArcAKO16_8_414,TETRArcAKO16,414.0,TETRArcAKO16_8,184_467_7,6852.0,54.0
TETRArcAKO16_9_414,TETRArcAKO16,414.0,TETRArcAKO16_9,205_1037_5,3984.0,44.0
TETRArcAKO16_10_414,TETRArcAKO16,414.0,TETRArcAKO16_10,212_309_7,7647.0,63.0
TETRArcAKO16_11_414,TETRArcAKO16,414.0,TETRArcAKO16_11,225_699_7,7789.0,91.0
