,Cell_type,Time,Spot,Spot_loc,Growth
TetR16_9_1565,TetR16,1565.0,TetR16_9,468_705_12,29741.0
TetR16_10_1565,TetR16,1565.0,TetR16_10,484_457_14,39557.0
TetR16_11_1565,TetR16,1565.0,TetR16_11,543_1020_14,39726.0
TetR16_12_1565,TetR16,1565.0,TetR16_12,570_461_20,61173.0
TetR16_13_1565,TetR16,1565.0,TetR16_13,600_646_10,17084.0
TetR16_14_1565,TetR16,1565.0,TetR16_14,605_15_9,16961.0
TetR16_15_1565,TetR16,1565.0,TetR16_15,633_800_15,41619.0
TetR16_16_1565,TetR16,1565.0,TetR16_16,635_263_15,38551.0
TetR16_17_1565,TetR16,1565.0,TetR16_17,660_667_13,37748.0
TetR16_18_1565,TetR16,1565.0,TetR16_18,731_512_10,18306.0
TetR16_19_1565,TetR16,1565.0,TetR16_19,739_224_13,33288.0
TetR16_20_1565,TetR16,1565.0,TetR16_20,765_836_10,17663.0
TetR16_21_1565,TetR16,1565.0,TetR16_21,774_388_13,33562.0
TetR16_22_1565,TetR16,1565.0,TetR16_22,856_127_10,19322.0
TetR16_23_1565,TetR16,1565.0,TetR16_23,875_227_10,18643.0
TetR16_24_1565,TetR16,1565.0,TetR16_24,890_634_10,20009.0
TetR16_25_1565,TetR16,1565.0,TetR16_25,1024_515_14,43354.0
TetR16_26_1565,TetR16,1565.0,TetR16_26,1027_572_13,32666.0
TetR16_27_1565,TetR16,1565.0,TetR16_27,1065_1014_13,36287.0
TetR16_28_1565,TetR16,1565.0,TetR16_28,1078_448_12,30498.0
TetR16_29_1565,TetR16,1565.0,TetR16_29,1093_87_11,23350.0
TetR16_0_782,TetR16,782.0,TetR16_0,4_1067_6,6504.0
TetR16_1_782,TetR16,782.0,TetR16_1,9_1000_6,7081.0
TetR16_2_782,TetR16,782.0,TetR16_2,32_882_12,25022.0
TetR16_3_782,TetR16,782.0,TetR16_3,240_375_12,24018.0
TetR16_4_782,TetR16,782.0,TetR16_4,251_1050_10,18360.0
TetR16_5_782,TetR16,782.0,TetR16_5,261_395_12,25446.0
TetR16_6_782,TetR16,782.0,TetR16_6,264_572_13,31457.0
TetR16_7_782,TetR16,782.0,TetR16_7,432_95_14,37906.0
TetR16_8_782,TetR16,782.0,TetR16_8,449_881_11,22382.0
TetR16_9_782,TetR16,782.0,TetR16_9,468_705_12,27504.0
TetR16_10_782,TetR16,782.0,TetR16_10,484_457_14,36974.0
TetR16_11_782,TetR16,782.0,TetR16_11,543_1020_14,36716.0
TetR16_12_782,TetR16,782.0,TetR16_12,570_461_20,56467.0
TetR16_13_782,TetR16,782.0,TetR16_13,600_646_10,15390.0
TetR16_14_782,TetR16,782.0,TetR16_14,605_15_9,15920.0
TetR16_15_782,TetR16,782.0,TetR16_15,633_800_15,37640.0
TetR16_16_782,TetR16,782.0,TetR16_16,635_263_15,35728.0
TetR16_17_782,TetR16,782.0,TetR16_17,660_667_13,33593.0
TetR16_18_782,TetR16,782.0,TetR16_18,731_512_10,16579.0
TetR16_19_782,TetR16,782.0,TetR16_19,739_224_13,30133.0
TetR16_20_782,TetR16,782.0,TetR16_20,765_836_10,16271.0
TetR16_21_782,TetR16,782.0,TetR16_21,774_388_13,30978.0
TetR16_22_782,TetR16,782.0,TetR16_22,856_127_10,17460.0
TetR16_23_782,TetR16,782.0,TetR16_23,875_227_10,17018.0
TetR16_24_782,TetR16,782.0,TetR16_24,890_634_10,18051.0
TetR16_25_782,TetR16,782.0,TetR16_25,1024_515_14,38807.0
TetR16_26_782,TetR16,782.0,TetR16_26,1027_572_13,29874.0
TetR16_27_782,TetR16,782.0,TetR16_27,1065_1014_13,33459.0
TetR16_28_782,TetR16,782.0,TetR16_28,1078_448_12,27485.0
TetR16_29_782,TetR16,782.0,TetR16_29,1093_87_11,21245.0
TetR16_0_2440,TetR16,2440.0,TetR16_0,4_1067_6,6554.0
TetR16_1_2440,TetR16,2440.0,TetR16_1,9_1000_6,7178.0
TetR16_2_2440,TetR16,2440.0,TetR16_2,32_882_12,30935.0
TetR16_3_2440,TetR16,2440.0,TetR16_3,240_375_12,29346.0
TetR16_4_2440,TetR16,2440.0,TetR16_4,251_1050_10,22076.0
TetR16_5_2440,TetR16,2440.0,TetR16_5,261_395_12,31875.0
TetR16_6_2440,TetR16,2440.0,TetR16_6,264_572_13,39614.0
TetR16_7_2440,TetR16,2440.0,TetR16_7,432_95_14,44206.0
TetR16_8_2440,TetR16,2440.0,TetR16_8,449_881_11,26466.0
TetR16_9_2440,TetR16,2440.0,TetR16_9,468_705_12,33811.0
TetR16_10_2440,TetR16,2440.0,TetR16_10,484_457_14,44826.0
TetR16_11_2440,TetR16,2440.0,TetR16_11,543_1020_14,44465.0
TetR16_12_2440,TetR16,2440.0,TetR16_12,570_461_20,68313.0
TetR16_13_2440,TetR16,2440.0,TetR16_13,600_646_10,19905.0
TetR16_14_2440,TetR16,2440.0,TetR16_14,605_15_9,19356.0
TetR16_15_2440,TetR16,2440.0,TetR16_15,633_800_15,46034.0
TetR16_16_2440,TetR16,2440.0,TetR16_16,635_263_15,43310.0
TetR16_17_2440,TetR16,2440.0,TetR16_17,660_667_13,42555.0
TetR16_18_2440,TetR16,2440.0,TetR16_18,731_512_10,20938.0
TetR16_19_2440,TetR16,2440.0,TetR16_19,739_224_13,37538.0
TetR16_20_2440,TetR16,2440.0,TetR16_20,765_836_10,20370.0
TetR16_21_2440,TetR16,2440.0,TetR16_21,774_388_13,38785.0
TetR16_22_2440,TetR16,2440.0,TetR16_22,856_127_10,21681.0
TetR16_23_2440,TetR16,2440.0,TetR16_23,875_227_10,21343.0
TetR16_24_2440,TetR16,2440.0,TetR16_24,890_634_10,22892.0
TetR16_25_2440,TetR16,2440.0,TetR16_25,1024_515_14,48163.0
TetR16_26_2440,TetR16,2440.0,TetR16_26,1027_572_13,37246.0
TetR16_27_2440,TetR16,2440.0,TetR16_27,1065_1014_13,40433.0
TetR16_28_2440,TetR16,2440.0,TetR16_28,1078_448_12,34384.0
TetR16_29_2440,TetR16,2440.0,TetR16_29,1093_87_11,26107.0
TetR16_0_46,TetR16,46.0,TetR16_0,4_1067_6,6535.0
TetR16_1_46,TetR16,46.0,TetR16_1,9_1000_6,7088.0
TetR16_2_46,TetR16,46.0,TetR16_2,32_882_12,24745.0
TetR16_3_46,TetR16,46.0,TetR16_3,240_375_12,23792.0
TetR16_4_46,TetR16,46.0,TetR16_4,251_1050_10,18119.0
TetR16_5_46,TetR16,46.0,TetR16_5,261_395_12,25006.0
TetR16_6_46,TetR16,46.0,TetR16_6,264_572_13,30530.0
TetR16_7_46,TetR16,46.0,TetR16_7,432_95_14,37530.0
TetR16_8_46,TetR16,46.0,TetR16_8,449_881_11,22208.0
TetR16_9_46,TetR16,46.0,TetR16_9,468_705_12,27002.0
TetR16_10_46,TetR16,46.0,TetR16_10,484_457_14,36285.0
TetR16_11_46,TetR16,46.0,TetR16_11,543_1020_14,35832.0
TetR16_12_46,TetR16,46.0,TetR16_12,570_461_20,55539.0
TetR16_13_46,TetR16,46.0,TetR16_13,600_646_10,15136.0
TetR16_14_46,TetR16,46.0,TetR16_14,605_15_9,15727.0
TetR16_15_46,TetR16,46.0,TetR16_15,633_800_15,36671.0
TetR16_16_46,TetR16,46.0,TetR16_16,635_263_15,35105.0
TetR16_17_46,TetR16,46.0,TetR16_17,660_667_13,32756.0
TetR16_18_46,TetR16,46.0,TetR16_18,731_512_10,16336.0
TetR16_19_46,TetR16,46.0,TetR16_19,739_224_13,29469.0
TetR16_20_46,TetR16,46.0,TetR16_20,765_836_10,16147.0
TetR16_21_46,TetR16,46.0,TetR16_21,774_388_13,30403.0
TetR16_22_46,TetR16,46.0,TetR16_22,856_127_10,17217.0
TetR16_23_46,TetR16,46.0,TetR16_23,875_227_10,16750.0
TetR16_24_46,TetR16,46.0,TetR16_24,890_634_10,17685.0
TetR16_25_46,TetR16,46.0,TetR16_25,1024_515_14,37235.0
TetR16_26_46,TetR16,46.0,TetR16_26,1027_572_13,29214.0
TetR16_27_46,TetR16,46.0,TetR16_27,1065_1014_13,32889.0
TetR16_28_46,TetR16,46.0,TetR16_28,1078_448_12,26602.0
TetR16_29_46,TetR16,46.0,TetR16_29,1093_87_11,20892.0
TetR16_0_2118,TetR16,2118.0,TetR16_0,4_1067_6,6573.0
TetR16_1_2118,TetR16,2118.0,TetR16_1,9_1000_6,7172.0
TetR16_2_2118,TetR16,2118.0,TetR16_2,32_882_12,29193.0
TetR16_3_2118,TetR16,2118.0,TetR16_3,240_375_12,27885.0
TetR16_4_2118,TetR16,2118.0,TetR16_4,251_1050_10,21234.0
TetR16_5_2118,TetR16,2118.0,TetR16_5,261_395_12,30476.0
TetR16_6_2118,TetR16,2118.0,TetR16_6,264_572_13,38135.0
TetR16_7_2118,TetR16,2118.0,TetR16_7,432_95_14,42563.0
TetR16_8_2118,TetR16,2118.0,TetR16_8,449_881_11,25450.0
TetR16_9_2118,TetR16,2118.0,TetR16_9,468_705_12,32029.0
TetR16_10_2118,TetR16,2118.0,TetR16_10,484_457_14,42542.0
TetR16_11_2118,TetR16,2118.0,TetR16_11,543_1020_14,42654.0
TetR16_12_2118,TetR16,2118.0,TetR16_12,570_461_20,65583.0
TetR16_13_2118,TetR16,2118.0,TetR16_13,600_646_10,18889.0
TetR16_14_2118,TetR16,2118.0,TetR16_14,605_15_9,18570.0
TetR16_15_2118,TetR16,2118.0,TetR16_15,633_800_15,44562.0
TetR16_16_2118,TetR16,2118.0,TetR16_16,635_263_15,41568.0
TetR16_17_2118,TetR16,2118.0,TetR16_17,660_667_13,40743.0
TetR16_18_2118,TetR16,2118.0,TetR16_18,731_512_10,20067.0
TetR16_19_2118,TetR16,2118.0,TetR16_19,739_224_13,36022.0
TetR16_20_2118,TetR16,2118.0,TetR16_20,765_836_10,19523.0
TetR16_21_2118,TetR16,2118.0,TetR16_21,774_388_13,37074.0
TetR16_22_2118,TetR16,2118.0,TetR16_22,856_127_10,20886.0
TetR16_23_2118,TetR16,2118.0,TetR16_23,875_227_10,20442.0
TetR16_24_2118,TetR16,2118.0,TetR16_24,890_634_10,21782.0
TetR16_25_2118,TetR16,2118.0,TetR16_25,1024_515_14,46333.0
TetR16_26_2118,TetR16,2118.0,TetR16_26,1027_572_13,35339.0
TetR16_27_2118,TetR16,2118.0,TetR16_27,1065_1014_13,38700.0
