Corem,Genes
523228,b0370;b1001;b1160;b1161;b1470;b1527;b1549;b1730;b1936;b2345;b2650;b2846;b2848;b2849;b2850;b2851;b2857;b3120;b4047;b4066;b3121
523233,b0603;b0702;b1001;b1527;b1730;b2345;b3120;b4047;b4066
523237,b0598;b0880;b1002;b2597;b3001;b3087;b3926;b3927;b4188;b4189;b4216
523245,b0317;b0318;b0319;b0320;b0321;b0323;b0358;b0504;b0505;b0614;b0615;b0617;b0823;b1006;b1008;b1009;b1007;b1526
523247,b0271;b0348;b0349;b0350;b0351;b1007;b1008;b1009;b1006
523253,b0508;b1006;b1007;b1008;b1009;b1157
523256,b0547;b0548;b1006;b1009;b1007;b1008;b1155;b1156
523261,b0652;b0653;b0654;b0855;b0856;b0857;b1007;b1008;b1009;b1006;b2307
523268,b0824;b1006;b1007;b1008;b1009;b1525
523275,b0283;b0284;b0285;b1008;b1007;b1009
523277,b1006;b1007;b1008;b1009
523435,b0774;b0775;b0776;b0777;b0778;b4290;b4287;b4289;b1018
523748,b0776;b0777;b0778;b1037;b1038;b1039
523750,b0653;b0855;b0856;b0857;b1037;b1038;b1040;b1039;b2307
523764,b1037;b1038;b1039;b1040
524051,b0906;b1051;b1967;b3522;b3524;b4263;b4269
524217,b0806;b1060;b2015;b2833
524226,b0965;b0968;b1060;b1217;b1283;b3000;b1563;b2833;b3021;b3022;b1195;b1837;b1743
524396,b1070;b1071;b1072;b1073;b1074;b1075;b1076;b1077;b1078;b1079;b1080;b1081;b1082;b1083;b1194;b1879;b1880;b1881;b1882;b1883;b1884;b1885;b1886;b1887;b1888;b1889;b1890;b1891;b1892;b1904;b1921;b1922;b1923;b1924;b1925;b1926;b1937;b1938;b1939;b1940;b1941;b1942;b1943;b1944;b1945;b1946;b1947;b1948;b1949;b1950;b3525;b4355
524511,b0174;b0176;b0177;b0179;b1088;b1090;b1092;b1093
524514,b0406;b0407;b0408;b1088;b1092;b1093
524526,b1088;b1089;b1090;b1092;b1093;b2185;b3186
524536,b1088;b1090;b1092;b1093
524775,b0212;b0604;b1103;b1104;b4402
524784,b0220;b0710;b0801;b0838;b0870;b0932;b0957;b1033;b1064;b1066;b1103;b1104;b1105;b1241;b1539;b1723;b2294;b2417;b3495;b1237;b2293;b2687;b2741;b2742;b3429;b3430;b3431;b3916;b3919
524789,b0800;b0866;b0925;b1103;b1104;b1105
524801,b1000;b1104;b1105;b4377;b3923;b4056
524802,b1103;b1104;b1105
525122,b0174;b0176;b0177;b1116;b1118
525612,b0237;b0440;b0605;b0957;b1136;b1174;b3236;b2551;b4000
525982,b0507;b0547;b0548;b0549;b1148;b1151;b1152;b1155;b1156;b1525
525986,b0647;b0650;b1148;b1151;b1152
526038,b0317;b0318;b0319;b0320;b0321;b0323;b0358;b0505;b0614;b0615;b0617;b0823;b1153;b1154;b1150;b1526
526042,b0508;b1150;b1153;b1154;b1157
526045,b0507;b0547;b0548;b0549;b0824;b1150;b1153;b1154;b1155;b1156;b1525
526054,b1006;b1007;b1008;b1009;b1150;b1153;b1154
526058,b1148;b1150;b1151;b1152;b1153;b1154
526063,b0117;b0317;b0318;b0504;b0505;b0614;b0615;b0617;b1148;b1151;b1152
526071,b1148;b1151;b1152
526100,b1150;b1153;b1154
526210,b0370;b1160;b1161;b1470;b1549;b2846;b2848;b2849;b2850;b2851;b2857
526256,b0761;b0853;b1162;b2393;b2929
526525,b0922;b0923;b1175;b1176
526618,b0212;b0604;b1179;b1461;b4402
526627,b0761;b0853;b1034;b1179;b1461;b3105;b2393
526831,b0761;b0853;b1034;b1185;b1284;b2393;b2413;b3105
526846,b1179;b1185;b1284;b1461;b2413
526899,b1002;b1189;b1190;b2597;b3087;b3426;b1406;b3001;b4188;b4189;b4208
527216,b0238;b1203;b1281;b1282;b1344;b2171
527232,b0853;b1034;b1204;b1727;b3105;b2393
527243,b0880;b1060;b1205;b1308;b1333;b1376;b1563;b1743;b1846;b2340;b2521;b2597;b2833;b3021;b3022;b3285
527295,b0050;b0051;b0052;b0053;b0639;b0640;b0641;b1215;b1208;b1209;b1210;b1211;b1212;b1213;b1214
527300,b0174;b0176;b0177;b1208;b1209
527340,b1208;b1209;b1210;b1211;b1212;b1213;b1214;b1215
527806,b0259;b0552;b0656;b1243;b1244;b1245;b1246;b1247;b1331;b1370;b1994;b2030;b2192;b2982;b3218;b3505
527808,b0733;b0734;b0903;b0904;b1243;b1244;b1245;b1246;b1247;b1905;b2296;b2297
527826,b1243;b1244;b1245;b1246;b1247
527903,b0829;b0830;b0831;b0832;b1250;b2177;b2179;b2180;b2332;b2627
