Corem,Genes
614527,b3102;b4126;b4127;b4149
614528,b1810;b1957;b3239;b4045;b4107;b4127;b4126
616317,b3003;b3519;b4167;b4187
616533,b0082;b0083;b0093;b0094;b0095;b4171;b4172;b0437
616551,b3191;b3192;b3196;b3197;b3198;b3199;b3200;b3201;b3202;b3203;b3204;b3206;b4172;b4171
616556,b3802;b3803;b4171;b4172
616631,b0437;b3178;b3179;b4171;b4172;b4174;b4175
616649,b3783;b3988;b4174;b4175
617216,b1748;b2341;b2342;b3453;b4189;b4188
617473,b2702;b2703;b2705;b4194;b4195;b4193;b4197
617490,b3477;b3478;b4194;b4195;b4196
618002,b2759;b2760;b4210;b4212
618013,b3325;b3328;b3330;b4210;b4212
619158,b2703;b2704;b2706;b4228;b4229;b4230;b4231;b4300;b4301;b4302;b4305;b4227;b4304
619180,b2151;b4301;b4302;b4229;b4230;b4231;b4357
622061,b1936;b2650;b4287;b4288;b4289;b4290
622064,b3328;b3329;b3330;b4288;b4290;b4287;b4289
622077,b4095;b4096;b4098;b4100;b4101;b4102;b4288;b4290;b4287;b4289
622125,b3435;b3710;b3907;b4289;b4290;b4287;b4288
623071,b3618;b3622;b3623;b3625;b3628;b3630;b3631;b4314;b4315;b4316;b4317;b4320;b4318;b4319
623081,b4314;b4315;b4316;b4317;b4318;b4319;b4320
623083,b1260;b1262;b1263;b1264;b2599;b4319;b4316;b4318;b4314
623085,b1250;b2177;b2179;b2180;b2627;b4316;b4317;b4318;b4320
623094,b0829;b0830;b0831;b4320;b4318;b4317;b4319
623545,b2713;b2717;b2718;b2719;b2720;b2722;b2724;b4329;b4330;b4335
626107,b0050;b0051;b0052;b4373;b4374
626145,b2261;b2262;b2264;b4373;b4374
626158,b2743;b2744;b2745;b2747;b2748;b4373;b4374
626174,b3288;b3289;b4373;b4374
626419,b3831;b4381;b4382;b4383;b4384
