Spot,Time,Growth,Growth_normalized
TetR_14,463,268620,0
TetR_14,494,268669,0
TetR_14,525,269383,0
TetR_14,556,270074,0
TetR_14,587,271159,0
TetR_14,618,273022,0
TetR_14,649,275045,1506
TetR_14,679,277557,4018
TetR_14,710,279306,5767
TetR_14,741,281825,8286
TetR_14,772,283574,10035
TetR_14,803,286047,12508
TetR_14,834,288398,14859
TetR_14,865,289806,16267
TetR_14,896,290640,17101
TetR_14,926,292495,18956
TetR_14,957,294869,21330
TetR_14,988,297627,24088
TetR_14,1019,298706,25167
TetR_14,1050,301214,27675
TetR_14,1081,303132,29593
TetR_14,1112,305175,31636
TetR_14,1142,307618,34079
TetR_14,1173,309735,36196
TetR_14,1204,312329,38790
TetR_14,1235,313878,40339
TetR_14,1266,316370,42831
TetR_14,1297,318935,45396
TetR_14,1328,320210,46671
TetR_14,1359,322015,48476
TetR_14,1389,322280,48741
TetR_14,1420,323744,50205
TetR_14,1451,325226,51687
TetR_14,1482,326089,52550
TetR_14,1513,327390,53851
TetR_14,1544,327944,54405
TetR_14,1575,329301,55762
TetR_14,1606,329855,56316
TetR_14,1636,330902,57363
TetR_14,1667,331589,58050
TetR_14,1698,332181,58642
TetR_14,1729,333513,59974
TetR_14,1760,334032,60493
TetR_14,1791,334875,61336
TetR_14,1822,335798,62259
TetR_14,1852,336351,62812
TetR_14,1883,336639,63100
TetR_14,1914,337267,63728
TetR_14,1945,337558,64019
TetR_14,1976,338016,64477
TetR_14,2007,338346,64807
TetR_14,2038,338627,65088
TetR_14,2069,338540,65001
TetR_14,2099,339067,65528
TetR_14,2130,339723,66184
TetR_14,2161,339790,66251
TetR_14,2192,339583,66044
TetR_14,2223,339621,66082
TetR_14,2254,339751,66212
TetR_14,2285,339910,66371
TetR_14,2316,340105,66566
TetR_14,2346,340099,66560
TetR_14,2377,339914,66375
TetR_14,2408,339530,65991
TetR_14,2439,339336,65797
TetR_14,2470,339164,65625
TetR_14,2501,338841,65302
TetR_14,2532,338805,65266
TetR_14,2562,338330,64791
TetR_14,2593,337764,64225
TetR_14,2624,338371,64832
TetR_14,2655,338204,64665
TetR_14,2686,338109,64570
TetR_14,2717,338154,64615
TetR_14,2748,338470,64931
TetR_14,2779,337911,64372
TetR_14,2809,338250,64711
TetR_14,2840,338004,64465
TetR_14,2871,338251,64712
TetR_14,2902,338244,64705
TetR_15,0,94957,0
TetR_15,30,93661,0
TetR_15,61,93204,0
TetR_15,92,93112,0
TetR_15,123,93256,0
TetR_15,154,93035,0
TetR_15,185,93062,0
TetR_15,216,93104,0
TetR_15,247,92915,0
TetR_15,278,92996,0
TetR_15,309,93077,0
TetR_15,340,93056,0
TetR_15,371,93113,0
TetR_15,402,93068,0
TetR_15,432,93003,0
TetR_15,463,93272,0
TetR_15,494,93738,0
TetR_15,525,94269,0
TetR_15,556,94911,0
TetR_15,587,95556,599
TetR_15,618,96421,1464
TetR_15,649,97186,2229
TetR_15,679,98010,3053
TetR_15,710,98119,3162
TetR_15,741,98418,3461
TetR_15,772,98296,3339
TetR_15,803,98761,3804
TetR_15,834,99101,4144
TetR_15,865,99698,4741
TetR_15,896,99944,4987
TetR_15,926,100685,5728
TetR_15,957,101313,6356
TetR_15,988,102219,7262
TetR_15,1019,102341,7384
TetR_15,1050,102839,7882
TetR_15,1081,103298,8341
TetR_15,1112,103680,8723
TetR_15,1142,104527,9570
TetR_15,1173,105210,10253
TetR_15,1204,106124,11167
TetR_15,1235,106383,11426
TetR_15,1266,106979,12022
TetR_15,1297,107444,12487
TetR_15,1328,107604,12647
TetR_15,1359,107958,13001
TetR_15,1389,107790,12833
TetR_15,1420,108092,13135
TetR_15,1451,108330,13373
TetR_15,1482,108474,13517
TetR_15,1513,108599,13642
TetR_15,1544,108641,13684
TetR_15,1575,108720,13763
TetR_15,1606,108733,13776
TetR_15,1636,108695,13738
TetR_15,1667,108944,13987
TetR_15,1698,108989,14032
TetR_15,1729,109117,14160
TetR_15,1760,109207,14250
TetR_15,1791,109341,14384
TetR_15,1822,109423,14466
TetR_15,1852,109531,14574
TetR_15,1883,109620,14663
TetR_15,1914,109844,14887
TetR_15,1945,109914,14957
TetR_15,1976,109907,14950
TetR_15,2007,110123,15166
TetR_15,2038,110204,15247
TetR_15,2069,110183,15226
TetR_15,2099,110310,15353
TetR_15,2130,110448,15491
TetR_15,2161,110496,15539
TetR_15,2192,110440,15483
TetR_15,2223,110391,15434
TetR_15,2254,110379,15422
TetR_15,2285,110367,15410
TetR_15,2316,110453,15496
TetR_15,2346,110286,15329
TetR_15,2377,110304,15347
TetR_15,2408,110120,15163
TetR_15,2439,110214,15257
TetR_15,2470,110114,15157
TetR_15,2501,110026,15069
TetR_15,2532,109988,15031
TetR_15,2562,109856,14899
TetR_15,2593,109724,14767
TetR_15,2624,109854,14897
TetR_15,2655,109853,14896
TetR_15,2686,109575,14618
TetR_15,2717,109780,14823
TetR_15,2748,109727,14770
TetR_15,2779,109716,14759
TetR_15,2809,109749,14792
TetR_15,2840,109773,14816
TetR_15,2871,109815,14858
TetR_15,2902,109812,14855
TetR_16,0,94931,0
TetR_16,30,93744,0
TetR_16,61,93378,0
TetR_16,92,93233,0
TetR_16,123,93406,0
TetR_16,154,93149,0
TetR_16,185,93121,0
TetR_16,216,93110,0
TetR_16,247,93160,0
TetR_16,278,93185,0
TetR_16,309,93338,0
TetR_16,340,93272,0
TetR_16,371,93360,0
TetR_16,402,93285,0
TetR_16,432,93383,0
TetR_16,463,93544,0
TetR_16,494,93726,0
TetR_16,525,94234,0
TetR_16,556,94740,0
TetR_16,587,95676,745
TetR_16,618,96632,1701
TetR_16,649,97973,3042
TetR_16,679,99063,4132
TetR_16,710,99810,4879
TetR_16,741,100407,5476
TetR_16,772,100305,5374
TetR_16,803,100753,5822
TetR_16,834,101180,6249
TetR_16,865,101584,6653
TetR_16,896,101759,6828
TetR_16,926,102359,7428
TetR_16,957,103089,8158
TetR_16,988,103983,9052
TetR_16,1019,104392,9461
TetR_16,1050,105059,10128
TetR_16,1081,105537,10606
TetR_16,1112,105844,10913
TetR_16,1142,106559,11628
TetR_16,1173,106841,11910
TetR_16,1204,107339,12408
TetR_16,1235,107303,12372
TetR_16,1266,107523,12592
TetR_16,1297,107858,12927
TetR_16,1328,108158,13227
TetR_16,1359,108670,13739
TetR_16,1389,108547,13616
TetR_16,1420,108872,13941
TetR_16,1451,109235,14304
TetR_16,1482,109469,14538
TetR_16,1513,109545,14614
TetR_16,1544,109701,14770
TetR_16,1575,109734,14803
TetR_16,1606,109800,14869
TetR_16,1636,109875,14944
TetR_16,1667,109955,15024
TetR_16,1698,110064,15133
TetR_16,1729,109931,15000
TetR_16,1760,109978,15047
TetR_16,1791,110119,15188
TetR_16,1822,110084,15153
TetR_16,1852,109938,15007
TetR_16,1883,109989,15058
TetR_16,1914,110173,15242
TetR_16,1945,109990,15059
TetR_16,1976,109975,15044
TetR_16,2007,109966,15035
TetR_16,2038,109964,15033
TetR_16,2069,109939,15008
TetR_16,2099,110029,15098
TetR_16,2130,110016,15085
TetR_16,2161,110022,15091
TetR_16,2192,109952,15021
TetR_16,2223,110135,15204
TetR_16,2254,110150,15219
TetR_16,2285,110301,15370
TetR_16,2316,110188,15257
TetR_16,2346,110174,15243
TetR_16,2377,110087,15156
TetR_16,2408,109963,15032
